dataset,model,defender,latency,input tokens,output tokens,energy,full_compliance,full_refusal,partial_refusal
xs,qwen,base,4.60,29.27,213.44,1199.37,55.46,36.75,7.80
xs,phi,base,13.90,14.73,425.30,1979.62,64.89,22.22,12.89
xs,llama3,prioritygoal,9.11,790.24,360.78,2207.70,63.84,14.51,21.65
xs,qwen,Self-Exam,4.78,287.77,221.79,1243.32,47.33,46.89,5.78
xs,llama3,Self-Exam,6.76,333.97,270.70,1567.92,45.56,48.89,5.56
oa,qwen,base,7.87,50.20,349.50,1943.71,94.49,1.57,3.94
xs,deepseek,selfParaphrase,12.41,64.53,225.65,1176.39,60.36,31.63,8.02
xs,qwen,intentionanalysi,3.72,331.81,172.29,970.13,44.00,43.78,12.22
xs,llama3,ICD,4.09,98.24,164.27,947.37,53.45,42.09,4.45
oa,mistral,Retokenization,9.05,89.35,321.28,1878.84,49.21,28.97,21.83
xs,phi,ICD,12.03,62.73,366.95,1698.35,54.67,22.67,22.67
xs,gemma,Retokenization,12.36,35.94,230.03,2274.19,40.76,37.64,21.60
oa,qwen,llamaguard,8.05,619.07,351.51,1971.60,92.91,3.15,3.94
xs,phi,llamaguard,14.05,560.48,427.32,1968.44,61.78,24.00,14.22
oa,llama3,prioritygoal,12.44,811.24,496.48,3116.03,97.24,0.79,1.97
oa,deepseek,base,25.09,41.92,452.42,2151.51,96.85,1.57,1.57
xs,gemma,smoothllm,92.27,158.00,1705.28,17789.24,47.78,48.00,4.22
oa,deepseek,smoothllm,150.75,255.23,2732.43,12625.17,94.09,3.54,2.36
xs,llama3,selfdefend,0.89,126.24,35.75,204.06,3.57,88.62,7.81
oa,llama3,Retokenization,9.50,117.27,383.42,2306.91,62.35,24.29,13.36
xs,gemma,ICD,10.84,72.33,200.76,2015.45,47.78,34.44,17.78
oa,gemma,base,21.53,37.31,350.92,4082.42,91.30,2.77,5.93
xs,phi,Retokenization,10.79,30.51,329.95,1516.82,30.00,38.18,31.82
xs,gemma,Self-Exam,13.83,286.25,257.35,2659.48,46.55,36.53,16.93
oa,phi,selfdefend,2.28,127.28,65.41,246.61,23.11,57.37,19.52
xs,mistral,PPL,7.19,15.30,233.61,1532.62,60.00,22.22,17.78
xs,phi,prioritygoal,8.49,864.73,257.10,1283.55,46.10,44.10,9.80
oa,phi,PPL,20.15,38.05,342.57,2436.10,52.36,44.88,2.76
