dataset,model,defender,latency,input tokens,output tokens,energy,full_compliance,full_refusal
xs,qwen,base,4.60,29.27,213.62,1200.36,53.11,46.89
law,deepseek,Self-Reminder,6.92,1578.53,122.71,736.42,100.00,0.00
xs,phi,base,13.90,14.73,425.30,1979.62,90.44,9.56
xs,llama3,prioritygoal,9.12,790.25,361.02,2209.14,79.78,20.22
math,qwen,selfdefend,2.08,1880.02,61.01,562.90,100.00,0.00
math,llama3,ICD,11.11,1800.42,443.25,3061.39,99.63,0.37
xs,qwen,Self-Exam,4.78,287.77,221.79,1243.32,45.33,54.67
math,phi,ICD,13.54,1930.77,361.12,2542.51,99.93,0.07
xs,llama3,Self-Exam,6.76,333.97,270.70,1567.92,90.00,10.00
oa,qwen,base,7.87,50.20,349.50,1943.71,97.64,2.36
law,gemma,base,6.22,1493.07,108.39,1313.32,100.00,0.00
law,gemma,Retokenization,11.27,3903.77,176.36,2491.48,100.00,0.00
xs,deepseek,selfParaphrase,12.40,64.52,225.36,1174.85,73.11,26.89
xs,qwen,intentionanalysi,3.72,331.81,172.29,970.13,66.22,33.78
law,qwen,selfdefend,1.40,1566.70,55.83,373.31,100.00,0.00
xs,llama3,ICD,4.11,98.25,165.00,951.62,99.56,0.44
oa,mistral,Retokenization,9.08,89.31,322.25,1884.48,97.24,2.76
xs,phi,ICD,12.03,62.73,366.95,1698.35,92.22,7.78
math,qwen,llamaguard,9.49,4096.76,411.28,2600.11,97.93,2.07
law,gemma,PPL,6.17,1493.07,107.30,1302.67,100.00,0.00
xs,gemma,Retokenization,12.34,35.95,229.66,2270.56,55.78,44.22
oa,qwen,llamaguard,8.05,619.07,351.51,1971.60,97.24,2.76
xs,phi,llamaguard,14.05,560.48,427.32,1968.44,90.00,10.00
law,deepseek,selfdefend,2.62,1616.53,44.40,319.66,100.00,0.00
oa,llama3,prioritygoal,12.44,811.24,496.48,3116.03,100.00,0.00
math,mistral,selfdefend,2.94,1981.15,99.46,702.58,99.85,0.15
oa,deepseek,base,25.09,41.92,452.42,2151.51,98.03,1.97
xs,gemma,smoothllm,92.27,158.00,1705.28,17789.24,55.78,44.22
math,llama3,Retokenization,10.15,3960.10,370.10,2868.97,100.00,0.00
law,deepseek,PPL,6.14,1534.53,108.94,664.84,100.00,0.00
oa,deepseek,smoothllm,150.75,255.23,2732.43,12625.17,98.03,1.97
law,llama3,selfdefend,1.07,1580.93,36.55,273.50,100.00,0.00
xs,llama3,selfdefend,0.89,126.25,35.78,204.22,100.00,0.00
